가맹점구분번호,가맹점주소,가맹점명,브랜드구분코드,가맹점지역,업종,상권,개설일,폐업일,기준년월_x,가맹점 운영개월수 구간,매출금액 구간,매출건수 구간,유니크 고객 수 구간,객단가 구간,취소율 구간,배달매출금액 비율,동일 업종 매출금액 비율,동일 업종 매출건수 비율,동일 업종 내 매출 순위 비율,동일 상권 내 매출 순위 비율,동일 업종 내 해지 가맹점 비중,동일 상권 내 해지 가맹점 비중,기준년월_y,남성 20대이하 고객 비중,남성 30대 고객 비중,남성 40대 고객 비중,남성 50대 고객 비중,남성 60대이상 고객 비중,여성 20대이하 고객 비중,여성 30대 고객 비중,여성 40대 고객 비중,여성 50대 고객 비중,여성 60대이상 고객 비중,재방문 고객 비중,신규 고객 비중,거주 이용 고객 비율,직장 이용 고객 비율,유동인구 이용 고객 비율
B5AD8350EE,서울 성동구 자동차시장1길 94-15.,동대******,,서울 성동구,한식-찌개/전골,장한평자동차,20180516,,202407,3_25-50%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,0.0,114.6,181.1,42.6,23.6,17.3,7.0,202302,4.7685,35.9975,16.7365,28.798,7.1995,0.3315,2.5025,1.1635,2.002,0.5005,45.16,16.13,0.0,20.0,80.0
6B62F6001E,서울특별시 성동구 마조로11길 7,유유**,,서울 성동구,커피전문점,한양대,20180320,,202406,3_25-50%,3_25-50%,2_10-25%,2_10-25%,5_75-90%,1_상위1구간,0.0,83.2,249.0,22.7,44.2,17.3,10.9,202308,16.6244,5.8936,2.0572,2.6132,0.6116,43.1756,15.3064,5.3428,6.7868,1.5884,16.96,5.27,34.8,13.3,51.9
F67809447B,서울 성동구 왕십리로 327.,똥파*,,서울 성동구,요리주점,왕십리,20061130,,202301,1_10%이하,2_10-25%,4_50-75%,4_50-75%,1_10%이하,5_상위5구간,-999999.9,427.4,520.8,3.7,23.9,19.4,8.9,202410,19.6612,39.6408,11.144,7.4824,1.6716,5.0388,10.1592,2.856,1.9176,0.4284,22.52,6.01,45.7,2.9,51.4
E25C0935BB,서울특별시 성동구 독서당로 311,본죽**********,한식-죽2,서울 성동구,한식-죽,금남시장,20170622,,202410,3_25-50%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,6_상위6구간(하위1구간),53.2,62.5,156.8,25.1,24.0,18.9,8.1,202307,2.9172,6.2634,9.0519,12.3123,12.3123,3.8828,8.3366,12.0481,16.3877,16.3877,26.96,7.07,71.8,5.8,22.3
5257313CF4,서울특별시 성동구 광나루로9길 2,본*,,서울 성동구,떡/한과,,20221013,,202409,4_50-75%,5_75-90%,5_75-90%,5_75-90%,2_10-25%,1_상위1구간,-999999.9,30.4,8.2,51.9,0.0,1.7,-999999.9,202405,2.4024,5.3988,1.7952,2.706,0.8976,15.7976,35.5012,11.8048,17.794,5.9024,8.51,4.26,0.0,0.0,100.0
DC6768DBDA,서울특별시 성동구 장터길 35,원조***,,서울 성동구,한식-육류/고기,금남시장,20201207,,202403,4_50-75%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),,100.0,0.0,0.0,75.0,54.8,16.5,9.3,202402,0.0,8.75,18.4,11.4,11.4,0.0,8.75,18.4,11.4,11.4,5.26,1.75,100.0,0.0,0.0
A5DC44A844,서울특별시 성동구 마장로 271,희망****,,서울 성동구,카페,,20201218,,202404,4_50-75%,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,5_75-90%,1_상위1구간,-999999.9,3.0,3.5,84.1,0.0,16.1,-999999.9,202411,0.0,21.3759,21.3759,14.2506,21.3759,0.0,5.9241,5.9241,3.9494,5.9241,0.0,0.0,-999999.9,-999999.9,-999999.9
86B7149C4A,서울특별시 성동구 용답중앙15길 16,혁이*,,서울 성동구,분식,답십리,20230804,,202401,6_90%초과(하위 10% 이하),3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,4.7,117.6,176.9,30.6,29.7,19.5,8.0,202411,9.5748,13.3668,14.4096,7.821,2.2752,10.6252,14.8332,15.9904,8.679,2.5248,17.1,6.78,28.8,4.5,66.7
274F7C9F52,서울 성동구 성수일로11길 10.,H커*****,,서울 성동구,커피전문점,뚝섬,20140529,,202412,2_10-25%,3_25-50%,1_10%이하,2_10-25%,5_75-90%,2_상위2구간,-999999.9,161.5,209.9,11.1,23.1,18.0,9.0,202306,19.107,21.384,5.1975,2.97,0.8415,19.493,21.816,5.3025,3.03,0.8585,35.43,4.8,21.2,22.2,56.6
FEAD704455,서울특별시 성동구 왕십리로 410,케키******,,서울 성동구,식료품,,20220113,,202305,5_75-90%,4_50-75%,1_10%이하,2_10-25%,6_90%초과(하위 10% 이하),1_상위1구간,-999999.9,58.0,327.7,26.0,0.0,11.6,-999999.9,202402,17.616,12.96,10.992,4.32,2.112,19.084,14.04,11.908,4.68,2.288,36.51,4.8,32.8,6.7,60.6
